dialogue_id,speaker,text,cutsceneResorcePath,
5024,모노,모든 게… 낯설어. 주인은 이런 곳에 온 적이 없는데. 내가 길을 잘못 든 걸까?,,
5025,모노,우선 좀 더 돌아 다녀 보자,,
5026,,, Cutscenes/Video/Cutsceen4_mv,
5027,바우,뉘슈? 감히 우리 집에 친입하다니 배짱이 두둑하구만잉.,,
5028,바우,잉? 이 동네 개는 아닌 것 같고만유,,
5029,모노,…길을 잃었어. 주인이 있는 곳을 찾고 있는데 ,,
5030,바우,너희 주인? 여기에서 사는 거유?,,
5031,모노,아니 좀 더 <size=120%>높은 집들</size>이 많이 있는 곳이야,,
5032,바우,높은 곳이라... 여긴 그런 곳은 없슈. 하지만 <size=120%>덕팔이 영감님</size>이면 알지도 모르겠구먼,,
5033,모노,덕팔이 염감님?,,
5034,바우,그렇슈. 덕팔이 영감님. 이 마을의 우두머리라고 볼 수 있슈. 그 영감이라면 <size=120%>뭔가 알고 있을지도 모르겠구먼. </size>,,
5035,모노,그 영감한테 가볼래. 어디로 가면 돼?,,
5036,바우,쯧. 이놈의 <size=120%>목줄</size>만 풀 수 있다면… 내가 직접 덕팔이 영감에게 안내해 줄 텐데유.,,
5037,모노,<size=140%><color=#FF3B3B>내가! </color></size>내가 도와줄게. 잠시만…,,
5038,모노,됐다!,,
5039,바우,고맙구만유. <size=120%>나만 믿고 따라오슈!</size>,,
5040,모노,지금은 일단 바우를 따라 가보자,,
5041,바우,여기유 여기.,,
5042,바우,이거 참 누가 길을 막았구만유.,,
5043,바우,우선 <size=120%>상자</size>를 밀어버립시다.,,
5044,바우,잘했구만유. 다시 따라오슈,,
5045,바우,정말 너무하네잉... 누가 또 여기에 구멍을 팠구만유,,
5046,바우,아까 <size=120%>상자로 구멍에 매꿔야겠구만유.</size>,,
5047,바우,이건 꿀팁인데. 만약 어떻게 할지 모를 때는 <size=120%>E키</size>나 <size=120%>좌측하단 버튼</size> 통해서 <size=120%>후각모드</size>로 힌트를 얻을 수 있슈.,,
5048,바우,아마 너무 사용하면 <size=120%>후각에 마비</size>가 올지도 모르니께. 적당히 사용하슈.,,
5049,바우,좋구만유. 이제 다시 따라오슈.,,
5050,바우,아... 참! 그리고 혹시 잘못돼도 걱정 마슈. <size=120%>R키</size>나 <size=120%>우측하단 버튼</size> 누르면 <size=120%>다시 시작</size>하면 되니께.,,
5051,바우,영감님! 손님 모셔왔슈. 이놈이 지 주인 찾으러 이짝으로 왔다하는데 아는 거 없슈?,,
5052,덕팔이,... 오늘 낯선 차가 낯선 냄새를 달고서 오긴 했었지.,,
5053,모노,혹시 우리 주인인가? 여기에 없어?,,
5054,덕팔이,없다.,,
5055,모노,그럼...어디로 갔어?,,
5056,덕팔이,내가 왜..? 알려줘야 하지?,,
5057,모노,부탁이야... 나는 주인을 찾고 싶어...,,
5058,덕팔이,맨입으로는 도와줄 수는 없지. 내 <size=120%>부탁</size>을 도와준다면 모를까.,,
5059,모노,알겠어. 내가... 뭘하면 돼?,,
5060,,, Cutscenes/Video/Cutsceen6_mv,
5061,덕팔이,저번에 내가 우리 주인이랑 산책하면서 <size=120%>공을 숲에다 잃었다</size>. 그걸 찾아주면 알려줄 수도...,,
5062,모노,공? 어디에서 잃어 버렸는데?,,
5063,덕팔이,우리 집에서 나가서 <size=120%>오른쪽</size>으로 가면 숲이 나온다. 거길 찾아봐.,,
5064,모노,힝... 알겠어.,,
5065,모노,길 건너야 할 거 같는데... 무슨 방법이 없을까?,,
5066,모노,음... 어디에 있지? 분명 있쯤이라고 했는데...,,
5067,모노,저기에 뭔가 있어.  <size=120%>저건가?</size>,,
5068,모노,<size=140%>찾았다!</size>,,
5069,모노,어? 이 공... 어디선가 본적이...,,
5070,,, Cutscenes/Video/Cutsceen5_mv,
5071,모노,<size=140%>아!</size> 어제 아침에... 근데 그때 <size=120%>주인들이 소리를 높였던 거 같았어...</size>,,
5072,모노,왜 이제서야 기억이 난거지? 근데... 그 후의 기억이 안나,,
5073,모노,근데... 그 후의 기억이 안나... <size=120%>그래도 마을 곳곳에 기억될 만한 것이 있을 거 같아.</size>,,
5074,덕팔이,오? 왔군. 그래 찾았는가?,,
5075,모노,이거... 맞아?,,
5076,덕팔이,맞군.,,
5077,모노,그럼 이제 알려주는 거야?,,
5078,덕팔이,제법 쓸모가 있는 놈이었어. 좋다. 약속을 지키지.,,
5079,,, Cutscenes/Video/Cutsceen7_mv,
5080,덕팔이,<size=120%>그 차는 우리 집 왼쪽</size>에서부터 왔다.,,
5081,덕팔이,아마 그 길로 쭉 따라가면 <size=120%>너희 주인이 살던 곳</size>이 나올지도 모르지,,
5082,모노,<size=140%><color=#FF3B3B>고마워!</color></size> 이제 가볼게,,
5083,덕팔이,흠흠. 너의 주인을 찾을 수 있길... 행운을 빌지,,
5084,모노,어? 쟤네는...,,
5085,모노,왜... <size=140%><color=#FF3B3B>또 막는 거야!</color></size> ,,
5086,송곳니,우리가 어디에 있던 무슨 상관이냥.,,
5087,모노,<size=140%><color=#FF3B3B>이번에도 쫓아내주지!!</color></size>,,
5088,송곳니,으윽... 잠시만 기다려라냥. 우리는 싸우로 온 거는 아니였다냥. 너를 도와주러왔다냥,,
5089,모노,응? 나를 도와준다고?,,
5090,송곳니,히히. 그렇다냥. 사실 아까 미안해서 우리가 좀 도와줄까했다냥.,,
5091,모노,<size=120%>너희가?</size> 어떻게?,,
5092,송곳니,매일 <size=120%>이 근처에 나가는 차</size>가 있다냥. 그 차를 타면 너의 주인 곁으로 빨리 갈 수 있을 거다냥.,,
5093,모노,<size=140%><color=#FF3B3B>저...정말?</color></size> 그런데 내가 주인한테 가는 것은 어떻게 알고 있어?,,
5094,송곳니,이곳에서 버러지는 일은 우리 귀에 들어오게 되어 있다냥. 내 말을 믿어도 된다냥.,,
5095,모노,(어떻하지? 한 번 믿어 볼까?),,
5096,모노,차에 대해... 자세히 말해봐.,,
5097,송곳니,잘 생각했다냥. 이건 너한테만 알려주는 거다냥. 저기 들판 넘어에 있는 거 보이냐냥?,,
5098,모노,잘... 안보이는데?,,
5099,송곳니,<color=#FF3B3B>개들은 참 멍청한데 눈도 안좋다냥.</color>,,
5100,모노,<size=140%><color=#CC4444>뭐???</color></size> 다시 해보자는 거야?,,
5101,송곳니,농담이다냥. 저쪽으로 가면 차 하나가 있을 거다냥. 운전사 눈만 피해서 잘 올라타면 된다냥.,,
5102,모노,(뭔가 수상하지만...  빨리 주인 곁으로 갈 수만 있다면...),,
5103,모노,(한 번 가보자),,
5104,,, Cutscenes/Video/Cutsceen9_mv,
5105,모노,<size=140%><color=#FF3B3B>정말 그 녀석이 말한 대로 차가 있잖아!!</color></size>,,
5106,모노,인간한테 보이기 전에 <size=120%>빨리 타자.</size>,,
5107,,, Cutscenes/Video/Cutsceen10_mv,
5108,모노,어? 근데 여기서 왜  <size=120%>동족 냄새</size>가 나지? 그리고 <size=120%>내가 다쳤을 때의 냄새</size>도 나는 거 같아...,,
5109,,, Cutscenes/Video/Cutsceen11_mv,
5110,모노,길이 막혀 있네... 우선 <size=120%>다른 곳</size> 좀 더 둘러볼까?,,
5111,바우,부탁하구만유,,
5112,덕팔이,음? 벌써 찾았나? 자네 아직 공을 찾지 않았군..,,
5113,덕팔이,공을 빨리 찾아야 할 텐데..,,
5114,바우,아직도 못찾았슈?,,
5115,바우,지가 도와줄 수는 없어유..,,
5116,덕팔이,뭘 망설이나. 어서 길을 떠나게,,
5117,바우,덕팔이 영감님이 알려줬으니 틀림없을거유. 어서 가보슈!,,
5118,모노,(고양이들이 나를 무시한다...),,
5119,모노,(우선 다른 대로 가보자),,
5120,,, Cutscenes/Video/Cutsceen8_mv,
5121,모노,<size=120%>어 이건... 이 술병... 나설지가 않아</size>,,
5122,모노,그래! 그때 주인이 마셨던 <size=120%>알딸딸한 냄새</size> 는 그거였어!,,
5123,모노,근데 왜... <size=120%>울고 있었던 거지?</size>,,
5124,모노,난 내 갈길 가겠어!,,
5125,모노,막지마. 막으면 다시 공격할거야!!,,
5126,송곳니,진정하라냥.,,
5127,송곳니,우린 막지 않아는다냥. 너의 선택의 매우 존중한다냥.,,
5128,송곳니,잘 가라냥. ,,
